aggregate_category,attribute_category,expression,english_translation,notes
Compensation Scheme,Compensation Level,timeslønn,hourly wage,
Compensation Scheme,Compensation Level,lønnes,is paid,
Compensation Scheme,Compensation Level,lst,salary step,
Compensation Scheme,Compensation Level,minstelønn,minimum wage,
Compensation Scheme,Compensation Level,månadslön,monthly salary,
Compensation Scheme,Compensation Level,lønnskode,salary step,
Compensation Scheme,Compensation Level,lønnsspennet,the salary range,
Compensation Scheme,Compensation Level,lønstrinn,salary step,
Compensation Scheme,Compensation Level,lønnsregulativ,salary table,
Compensation Scheme,Compensation Level,lønnsplan,salary table,
Compensation Scheme,Compensation Level,lønnssats,pay rate,
Compensation Scheme,Compensation Level,lønnspennet,the salary range,
Compensation Scheme,Compensation Level,lønnsinnplassering,pay placement,
Compensation Scheme,Compensation Level,lønnstrinn,salary step,
Compensation Scheme,Compensation Level,lønsplan,salary schedule,
Compensation Scheme,Compensation Level,timeløn,hourly wage,
Compensation Scheme,Compensation Level,årslønn,annual salary,
Compensation Scheme,Compensation Level,lønsramme,salary schedule,Salary schedules defined in CBAs. 
Compensation Scheme,Compensation Level,lønnsstige,salary ladder,
Compensation Scheme,Compensation Level,lønnstr,salary step,
Compensation Scheme,Compensation Level,timelønn,hourly wage,
Compensation Scheme,Compensation Level,garantilønn,guaranteed pay,
Compensation Scheme,Compensation Level,stillingskode __number__ kr,job title code __number__ NOK,
Compensation Scheme,Compensation Level,lønnsrammene,the salary schedules,Salary schedules defined in CBAs. 
Compensation Scheme,Compensation Level,lønnstrin,salary step,
Compensation Scheme,Compensation Level,førstekonsulent kr,higher executive officer NOK,Higher executive officer is a job title used in entry level jobs in the public sector. 
Compensation Scheme,Compensation Level,lønnsteg,salary step,
Compensation Scheme,Compensation Level,ltr,salary step,
Compensation Scheme,Compensation Level,lønnsregulativet,the salary table,
Compensation Scheme,Compensation Level,årsløn,annual salary,
Compensation Scheme,Compensation Level,lønnsramme,salary schedule,Salary schedules defined in CBAs. 
Compensation Scheme,Compensation Level,lr,salary range,
Compensation Scheme,Compensation Level,lønsspenn,salary range,
Compensation Scheme,Compensation Level,lønnsplassering,pay placement,
Compensation Scheme,Compensation Level,lønsregulativet,the salary table,
Compensation Scheme,Compensation Level,lønnsrammer,salary schedules,Salary schedules defined in CBAs. 
Compensation Scheme,Compensation Level,lønnsregulativer,salary table,
Compensation Scheme,Compensation Level,lønnsnivå,pay level,
Compensation Scheme,Compensation Level,månadslønn,monthly salary,
Compensation Scheme,Compensation Level,lønnspenn,salary range,
Compensation Scheme,Compensation Level,lønsgruppe,salary category,
Compensation Scheme,Compensation Level,lønssteg,salary step,
Compensation Scheme,Compensation Level,lønnsspenn,salary range,
Compensation Scheme,Compensation Level,lønnssteg,salary step,
Compensation Scheme,Compensation Level,lønntrinn,salary step,
Compensation Scheme,Compensation Level,stillingskoden,the job title code,
Compensation Scheme,Compensation Level,månedslønn,monthly salary,
Compensation Scheme,Compensation Level,lønsregulativ,salary table,
Compensation Scheme,Compensation Level,lønnsavtaler,salary agreements,
Compensation Scheme,Compensation Level,lønnstabell,salary table,
Compensation Scheme,Competitive Pay,høgare lønn,higher pay,
Compensation Scheme,Competitive Pay,gode betingelser,good conditions,
Compensation Scheme,Competitive Pay,gode lønnsbetingelser,good pay conditions,
Compensation Scheme,Competitive Pay,gode lønnsbetingelsar,good pay conditions,
Compensation Scheme,Competitive Pay,gunstige lønnsbetingelser,good salary conditions,
Compensation Scheme,Competitive Pay,konkurransedyktige vilkår,competitive conditions,
Compensation Scheme,Competitive Pay,konkurransedyktige lønn,competitive pay,
Compensation Scheme,Competitive Pay,konkurransedyktige betingelser,competitive conditions,
Compensation Scheme,Competitive Pay,gode lønnsvillkår,good pay conditions,
Compensation Scheme,Competitive Pay,gode lønnsmoglegheiter,good salary possibilities,
Compensation Scheme,Competitive Pay,gode lønns,good pay,Part of longer expression
Compensation Scheme,Competitive Pay,konkurransdyktig lønn,competitive pay,
Compensation Scheme,Competitive Pay,gode lønnbetingelser,good pay conditions,
Compensation Scheme,Competitive Pay,gode inntjeningsmuligheter,good pay opportunities,
Compensation Scheme,Competitive Pay,gode arbeidsvilkår,good working conditions,
Compensation Scheme,Competitive Pay,gode betingeleser,good conditions,
Compensation Scheme,Competitive Pay,gode innteningsmoglegheiter,good earning opportunities,
Compensation Scheme,Competitive Pay,gode arbeidsbetingelser,good conditions,
Compensation Scheme,Competitive Pay,gunstige lønnsvilkår,good salary conditions,
Compensation Scheme,Competitive Pay,gode vilkår,good conditions,
Compensation Scheme,Competitive Pay,gode lønnsbetingelse,good pay conditions,
Compensation Scheme,Competitive Pay,gode lønningar,good salaries,
Compensation Scheme,Competitive Pay,gode lønnsmuligheter,good pay conditions,
Compensation Scheme,Competitive Pay,gunstig lønn,favorable pay,
Compensation Scheme,Competitive Pay,gode lønnsforhold,good pay conditions,
Compensation Scheme,Competitive Pay,gode lønnsordningar,good pay arrangements,
Compensation Scheme,Competitive Pay,konkuransedyktig lønn,competitive pay,
Compensation Scheme,Competitive Pay,høyere lønn,higher pay,
Compensation Scheme,Competitive Pay,gode fortjenestemuligheter,good earning opportunities,
Compensation Scheme,Competitive Pay,konkurransedyktig lønn,competitive pay,
Compensation Scheme,Competitive Pay,gode betingelsar,good conditions,
Compensation Scheme,Competitive Pay,gode lønnsordninger,good pay arrangements,
Compensation Scheme,Competitive Pay,gode fortenestemoglegheiter,good earning opportunities,
Compensation Scheme,Competitive Pay,gode lønnsvilkår,good pay conditions,
Compensation Scheme,Competitive Pay,gode inntektsmoglegheiter,good earning opportunities,
Compensation Scheme,Collective Agreement Pay,tariffavtalens,the CBA's,
Compensation Scheme,Collective Agreement Pay,lønnsspenn,salary range,
Compensation Scheme,Collective Agreement Pay,hovedtariffavtale,the CBA agreement,The CBA agreement between a confederation of trade unions and an employers' organization. 
Compensation Scheme,Collective Agreement Pay,tariffavtaler,CBAs,
Compensation Scheme,Collective Agreement Pay,tariffavtale,CBA,
Compensation Scheme,Collective Agreement Pay,hovedavtalen,the main CBA agreement,The main CBA agreement between a confederation of trade unions and an employers' organization. 
Compensation Scheme,Collective Agreement Pay,ltr,salary step,
Compensation Scheme,Collective Agreement Pay,lønsregulativet,the pay table,
Compensation Scheme,Collective Agreement Pay,tariffreglar,CBA regulations,
Compensation Scheme,Collective Agreement Pay,lønnsplan,salary schedule,
Compensation Scheme,Collective Agreement Pay,lønssteg,salary step,
Compensation Scheme,Collective Agreement Pay,lønnsspennet,the salary range,
Compensation Scheme,Collective Agreement Pay,særavtalen,the CBA,
Compensation Scheme,Collective Agreement Pay,overeinskomstar,CBAs,
Compensation Scheme,Collective Agreement Pay,overeinskomsten,the CBA,
Compensation Scheme,Collective Agreement Pay,tariff,CBA,
Compensation Scheme,Collective Agreement Pay,lønnsrammer,salary schedules,
Compensation Scheme,Collective Agreement Pay,lønnstabell,salary table,
Compensation Scheme,Collective Agreement Pay,tariffområde,CBA agreement,
Compensation Scheme,Collective Agreement Pay,lønsramme,salary schedule,Salary schedules defined in CBAs. 
Compensation Scheme,Collective Agreement Pay,stillingskodane,the job title codes,
Compensation Scheme,Collective Agreement Pay,overeinskomst,CBA,
Compensation Scheme,Collective Agreement Pay,lønnsramme,salary schedule,Salary schedules defined in CBAs. 
Compensation Scheme,Collective Agreement Pay,stillingskode,job title code,Public sector job title codes and job titles correspond to salary steps in CBAs. 
Compensation Scheme,Collective Agreement Pay,overenskomsten,the CBA,
Compensation Scheme,Collective Agreement Pay,lønnskode,salary code,
Compensation Scheme,Collective Agreement Pay,overenskomst,CBA,
Compensation Scheme,Collective Agreement Pay,hovudavtalen,the main CBA agreement,The main CBA agreement between a confederation of trade unions and an employers' organization. 
Compensation Scheme,Collective Agreement Pay,tariffen,the CBA,
Compensation Scheme,Collective Agreement Pay,overenskomster,the CBAs,
Compensation Scheme,Collective Agreement Pay,lønstrinn,salary step,
Compensation Scheme,Collective Agreement Pay,avtaleverk,agreements,
Compensation Scheme,Collective Agreement Pay,hovedtariffavtalene,the CBA agreement,The CBA agreement between a confederation of trade unions and an employers' organization. 
Compensation Scheme,Collective Agreement Pay,tariffavtalen,the CBA,
Compensation Scheme,Collective Agreement Pay,hovudtariffavtalar,CBA agreements,The CBA agreement between a confederation of trade unions and an employers' organization. 
Compensation Scheme,Collective Agreement Pay,sko,job title code,
Compensation Scheme,Collective Agreement Pay,tarifflønn,CBA pay,
Compensation Scheme,Collective Agreement Pay,overenkomst,CBA,
Compensation Scheme,Collective Agreement Pay,tariffer,the CBA,
Compensation Scheme,Collective Agreement Pay,regulativ,pay table,
Compensation Scheme,Collective Agreement Pay,hta,the CBA agreement's,The CBA agreement between a confederation of trade unions and an employers' organization. 
Compensation Scheme,Collective Agreement Pay,hovudtariffavtalane,CBA agreements,The CBA agreement between a confederation of trade unions and an employers' organization. 
Compensation Scheme,Collective Agreement Pay,lønnsregulativ,salary table,
Compensation Scheme,Collective Agreement Pay,lønnsrammene,the salary schedules,
Compensation Scheme,Collective Agreement Pay,tariffar,CBAs,
Compensation Scheme,Collective Agreement Pay,lønsregulativ,pay table,
Compensation Scheme,Collective Agreement Pay,tariffavtalane,the CBAs,
Compensation Scheme,Collective Agreement Pay,tariffbestemmelser,CBA regulations,
Compensation Scheme,Collective Agreement Pay,tariffavtalar,CBAs,
Compensation Scheme,Collective Agreement Pay,lønnstrinn,salary step,
Compensation Scheme,Collective Agreement Pay,hovudtariffavtale,CBA agreement,The CBA agreement between a confederation of trade unions and an employers' organization. 
Compensation Scheme,Collective Agreement Pay,lønnsregulativer,salary tables,
Compensation Scheme,Collective Agreement Pay,lr,salary range,
Compensation Scheme,Collective Agreement Pay,hovudtariffavtala,CBA agreement,The CBA agreement between a confederation of trade unions and an employers' organization. 
Compensation Scheme,Collective Agreement Pay,rammeavtalen,the framework agreement,
Compensation Scheme,Collective Agreement Pay,hovudavtale,main CBA agreement,The main CBA agreement between a confederation of trade unions and an employers' organization. 
Compensation Scheme,Collective Agreement Pay,hovedtariffavtaler,CBA agreements,The CBA agreement between a confederation of trade unions and an employers' organization. 
Compensation Scheme,Collective Agreement Pay,hovedtariffavtalens,the CBA agreement's,The CBA agreement between a confederation of trade unions and an employers' organization. 
Compensation Scheme,Collective Agreement Pay,lønntrinn,salary step,
Compensation Scheme,Collective Agreement Pay,hovudtariffavtalen,the CBA agreement,The CBA agreement between a confederation of trade unions and an employers' organization. 
Compensation Scheme,Collective Agreement Pay,hovedavtale,main CBA agreement,The main CBA agreement between a confederation of trade unions and an employers' organization. 
Compensation Scheme,Collective Agreement Pay,regulativet,the pay table,
Compensation Scheme,Collective Agreement Pay,tariffløn,CBA pay,
Compensation Scheme,Collective Agreement Pay,stillingskodene,job titles codes,
Compensation Scheme,Collective Agreement Pay,lønnstariff,pay tariff,
Compensation Scheme,Collective Agreement Pay,hovudtariffavtalens,the CBA agreement's,The CBA agreement between a confederation of trade unions and an employers' organization. 
Compensation Scheme,Collective Agreement Pay,lønnssteg,salary step,
Compensation Scheme,Collective Agreement Pay,lønnsregulativet,the salary table,
Compensation Scheme,Incentive Pay Scheme,provisjoner,commission pay,
Compensation Scheme,Incentive Pay Scheme,overskotsdeling,profit sharing,
Compensation Scheme,Incentive Pay Scheme,bonusmoglegheiter,bonus opportunities,
Compensation Scheme,Incentive Pay Scheme,provisjonsmuligheter,commission opportunities,
Compensation Scheme,Incentive Pay Scheme,provisjonsmoglegheiter,commission possibilities,
Compensation Scheme,Incentive Pay Scheme,bonuser,bonuses,
Compensation Scheme,Incentive Pay Scheme,provisjonsordning,commission scheme,
Compensation Scheme,Incentive Pay Scheme,resultatbonus,performance bonus,
Compensation Scheme,Incentive Pay Scheme,mulighet for medeierskap,possibility of co-ownership,
Compensation Scheme,Incentive Pay Scheme,provisjonsløsning,commission solution,
Compensation Scheme,Incentive Pay Scheme,bonusprogram,bonus program,
Compensation Scheme,Incentive Pay Scheme,provisjonslønn,commission salary,
Compensation Scheme,Incentive Pay Scheme,deleigarskap,equity compensation,
Compensation Scheme,Incentive Pay Scheme,bonusavtale,bonus agreement,
Compensation Scheme,Incentive Pay Scheme,provisjonsbasert,commission-based,
Compensation Scheme,Incentive Pay Scheme,eigardel,equity compensation,
Compensation Scheme,Incentive Pay Scheme,provisjonsbetingelser,commission conditions,
Compensation Scheme,Incentive Pay Scheme,bonus,bonus,
Compensation Scheme,Incentive Pay Scheme,årsbonus,annual bonus,
Compensation Scheme,Incentive Pay Scheme,provisjonsmodell,commission model,
Compensation Scheme,Incentive Pay Scheme,provisjonsavlønning,commission remuneration,
Compensation Scheme,Incentive Pay Scheme,porteføljeprovisjon,portfolio commission pay,
Compensation Scheme,Incentive Pay Scheme,salgsbonus,sales bonus,
Compensation Scheme,Incentive Pay Scheme,provisjonar,commission pay,
Compensation Scheme,Incentive Pay Scheme,provisjonsvilkår,commission terms,
Compensation Scheme,Incentive Pay Scheme,provision,commission pay,
Compensation Scheme,Incentive Pay Scheme,provisjonsordninger,commission arrangements,
Compensation Scheme,Incentive Pay Scheme,bonusmodellar,bonus models,
Compensation Scheme,Incentive Pay Scheme,opsjon,stock option,
Compensation Scheme,Incentive Pay Scheme,deleierskap,equity compensation,
Compensation Scheme,Incentive Pay Scheme,bonuslønn,bonus salary,
Compensation Scheme,Incentive Pay Scheme,provisjonssystem,commission system,
Compensation Scheme,Incentive Pay Scheme,akkordarbeid,piecework,
Compensation Scheme,Incentive Pay Scheme,bonusavtalar,bonus agreements,
Compensation Scheme,Incentive Pay Scheme,eierandel,equity compensation,
Compensation Scheme,Incentive Pay Scheme,salsbonus,sales bonus,
Compensation Scheme,Incentive Pay Scheme,bonusavtaler,bonus agreements,
Compensation Scheme,Incentive Pay Scheme,bonusmodeller,bonus models,
Compensation Scheme,Incentive Pay Scheme,bonusordninger,bonus schemes,
Compensation Scheme,Incentive Pay Scheme,provisjonslønnsutbetaling,commission salary payment,
Compensation Scheme,Incentive Pay Scheme,bonusar,bonuses,
Compensation Scheme,Incentive Pay Scheme,moglegheit for medeigarskap,possibility of co-ownership,
Compensation Scheme,Incentive Pay Scheme,bonusordningar,bonus schemes,
Compensation Scheme,Incentive Pay Scheme,bonusmuligheter,bonus opportunities,
Compensation Scheme,Incentive Pay Scheme,akkordbasert,piecework-based,
